source_joinid,vest_joinid,,,,,
1-Beaver 1,1-BV01,,,,,
1-Beaver 2,1-BV02,,,,,
1-Beaver 3,1-BV03,,,,,
1-Beaver 4,1-BV04,,,,,
1-Greenville,1-GR01,,,,,
1-Milford 1,1-ML01,,,,,
1-Milford 2,1-ML02,,,,,
1-Milford 3,1-ML03,,,,,
1-Minersville,1-MV01,,,,,
2-Brigham City 01,2-BC01,,,,,
2-Brigham City 02,2-BC02,,,,,
2-Brigham City 03,2-BC03,,,,,
2-Brigham City 04,2-BC04,,,,,
2-Brigham City 05,2-BC05,,,,,
2-Brigham City 06,2-BC06,,,,,
2-Brigham City 07,2-BC07,,,,,
2-Brigham City 08,2-BC08,,,,,
2-Brigham City 09,2-BC09,,,,,
2-Brigham City 10,2-BC10,,,,,
2-Brigham City 11,2-BC11,,,,,
2-Brigham City 12,2-BC12,,,,,
2-Brigham City 13,2-BC13,,,,,
2-Brigham City 14,2-BC14,,,,,
2-Brigham City 15,2-BC15,,,,,
2-Brigham City North,2-BCN,,,,,
2-Beaver Dam/Collinston,2-BD/C,,,,,
2-Bear River,2-BEAR,,,,,
2-Bear River East,2-BRE,,,,,
2-Clear Creek,2-CC,,,,,
2-Corinne 1,2-COR1,,,,,
2-Corinne 2,2-COR2,,,,,
2-Deweyville,2-DEWY,,,,,
2-Elwood,2-ELWD,,,,,
2-Fielding 1,2-FLDG1,,,,,
2-Fielding 2,2-FLDG2,,,,,
2-Garland 1,2-GAR1,,,,,
2-Garland 2,2-GAR2,,,,,
2-Garland East,2-GARE,,,,,
2-Grouse Creek,2-GC,,,,,
2-Honeyville,2-HONY,,,,,
2-Howell,2-HOWL,,,,,
2-Mantua,2-MANT,,,,,
2-Park Valley,2-PARK,,,,,
2-Perry 1,2-PER1,,,,,
2-Perry 2,2-PER2,,,,,
2-Perry 3,2-PER3,,,,,
2-Perry 4,2-PER4,,,,,
2-Plymouth,2-PLYM,,,,,
2-Portage,2-PORT,,,,,
2-Promontory,2-PROM,,,,,
2-Riverside,2-RIV,,,,,
2-Snowville,2-SNOW,,,,,
2-South Willard,2-SWIL,,,,,
2-Tremonton 1,2-TRE1,,,,,
2-Tremonton 2,2-TRE2,,,,,
2-Tremonton 3,2-TRE3,,,,,
2-Tremonton 4,2-TRE4,,,,,
2-Tremonton 5,2-TRE5,,,,,
2-Tremonton South,2-TRES,,,,,
2-Tremonton West,2-TREW,,,,,
,2-WLRD,,,,,
2-Yost,2-YOST,,,,,
3-LOG01-CSD,3-LOG01:CSD,,,,,
